Name,Lizenz
symfony/translation-contracts,Unbekannt
jakeasmith/http_build_url,MIT
joomla/language,Unbekannt
joomla/data,Unbekannt
joomla/session,Unbekannt
phpmailer/phpmailer,Unbekannt
symfony/options-resolver,Unbekannt
phpstan/phpstan-deprecation-rules,Unbekannt
sebastian/object-reflector,BSD-3-Clause
clue/ndjson-react,Unbekannt
typo3/phar-stream-wrapper,Unbekannt
psr/clock,MIT
sebastian/exporter,BSD-3-Clause
joomla/string,Unbekannt
psr/link,MIT
symfony/polyfill-uuid,Unbekannt
joomla/registry,Unbekannt
jfcherng/php-diff,Unbekannt
symfony/console,Unbekannt
algo26-matthias/idna-convert,Unbekannt
voku/portable-ascii,MIT
phpunit/php-text-template,BSD-3-Clause
sebastian/code-unit,BSD-3-Clause
psr/http-message,MIT
symfony/error-handler,Unbekannt
symfony/uid,Unbekannt
symfony/yaml,Unbekannt
psr/cache,MIT
psr/http-factory,MIT
dragonmantank/cron-expression,Unbekannt
guzzlehttp/psr7,MIT
phpunit/php-invoker,BSD-3-Clause
sebastian/type,BSD-3-Clause
sebastian/version,BSD-3-Clause
tobscure/json-api,Unbekannt
symfony/polyfill-php83,Unbekannt
myclabs/deep-copy,Unbekannt
lcobucci/jwt,BSD-3-Clause
sebastian/complexity,BSD-3-Clause
joomla/oauth1,Unbekannt
symfony/polyfill-ctype,Unbekannt
joomla/application,Unbekannt
react/stream,Unbekannt
symfony/process,Unbekannt
symfony/polyfill-iconv,Unbekannt
symfony/service-contracts,Unbekannt
symfony/http-client-contracts,Unbekannt
web-token/jwt-library,Unbekannt
voku/portable-utf8,Unbekannt
joomla/uri,Unbekannt
jfcherng/php-color-output,MIT
sebastian/diff,BSD-3-Clause
paragonie/sodium_compat,Unbekannt
phpseclib/bcmath_compat,Unbekannt
joomla/http,Unbekannt
sebastian/recursion-context,BSD-3-Clause
symfony/finder,Unbekannt
psr/http-client,MIT
evenement/evenement,Unbekannt
web-auth/webauthn-lib,Unbekannt
phar-io/manifest,BSD-3-Clause
fidry/cpu-core-counter,MIT
symfony/polyfill-intl-normalizer,Unbekannt
ralouphie/getallheaders,MIT
jfcherng/php-sequence-matcher,Unbekannt
symfony/event-dispatcher,Unbekannt
symfony/filesystem,Unbekannt
php-debugbar/php-debugbar,Unbekannt
google/recaptcha,BSD-3-Clause
web-auth/metadata-service,MIT
joomla/test,Unbekannt
sebastian/global-state,BSD-3-Clause
paragonie/constant_time_encoding,Unbekannt
phpseclib/phpseclib,Unbekannt
spomky-labs/pki-framework,Unbekannt
symfony/var-dumper,Unbekannt
laminas/laminas-diactoros,Unbekannt
symfony/event-dispatcher-contracts,Unbekannt
squizlabs/php_codesniffer,Unbekannt
joomla/database,Unbekannt
sebastian/comparator,BSD-3-Clause
lcobucci/clock,MIT
joomla/input,Unbekannt
joomla/event,Unbekannt
joomla/archive,Unbekannt
symfony/deprecation-contracts,Unbekannt
phpstan/phpstan,Unbekannt
joomla/filesystem,Unbekannt
psr/event-dispatcher,MIT
joomla/oauth2,Unbekannt
symfony/stopwatch,Unbekannt
spomky-labs/cbor-php,Unbekannt
composer/pcre,MIT
defuse/php-encryption,Unbekannt
doctrine/instantiator,MIT
webmozart/assert,MIT
joomla/di,Unbekannt
joomla/authentication,Unbekannt
brick/math,Unbekannt
psr/container,MIT
joomla/mediawiki,Unbekannt
jfcherng/php-mb-string,Unbekannt
joomla/utilities,Unbekannt
sebastian/resource-operations,BSD-3-Clause
react/dns,Unbekannt
web-auth/cose-lib,Unbekannt
doctrine/inflector,MIT
joomla/router,Unbekannt
theseer/tokenizer,BSD-3-Clause
fig/link-util,MIT
react/socket,Unbekannt
guzzlehttp/promises,MIT
php-tuf/php-tuf,Unbekannt
react/cache,Unbekannt
sebastian/lines-of-code,BSD-3-Clause
joomla/filter,Unbekannt
symfony/ldap,Unbekannt
phpunit/php-timer,BSD-3-Clause
sebastian/object-enumerator,BSD-3-Clause
phpunit/php-code-coverage,Unbekannt
symfony/polyfill-intl-grapheme,Unbekannt
symfony/web-link,Unbekannt
phpunit/phpunit,BSD-3-Clause
nikic/php-parser,Unbekannt
enshrined/svg-sanitize,Unbekannt
willdurand/negotiation,MIT
sebastian/cli-parser,BSD-3-Clause
psr/log,MIT
phar-io/version,BSD-3-Clause
react/event-loop,Unbekannt
symfony/validator,Unbekannt
symfony/polyfill-mbstring,Unbekannt
symfony/http-client,Unbekannt
